Country,agr_land,land_area,Birth Rate,cap_city,Co2,CPI,CPI_change,fert_rate,gas,GDP,child_death,life_expect,lang,health_cost,pop,tax_rev,unemploy,lat,lat
Iraq,21.4,438317.0,29.08,Baghdad,190061.0,119.86,0.4,3.67,0.61,234094.042939,22.5,70.5,Arabic,76.5,39309783.0,2.0,12.82,33.223191,43.679291
Republic of Ireland,64.5,70273.0,12.5,Dublin,37711.0,106.58,0.9,1.75,1.37,388698.711348,3.1,82.3,Irish,15.2,5007069.0,18.3,4.93,53.41291,-8.24389
Israel,24.6,20770.0,20.8,Jerusalem,65166.0,108.15,0.8,3.09,1.57,395098.666122,3.0,82.8,Hebrew,24.4,9053300.0,23.1,3.86,31.046051,34.851612
Italy,43.2,301340.0,7.3,Rome,320411.0,110.62,0.6,1.29,1.61,2001244.392042,2.6,82.9,Italian,22.8,60297396.0,24.3,9.89,41.87194,12.56738
Jamaica,41.0,10991.0,16.1,Kingston,8225.0,162.47,3.9,1.98,1.11,16458.071068,12.4,74.4,Jamaican English,23.7,2948279.0,26.8,8.0,18.109581,-77.297508
Japan,12.3,377944.0,7.4,Tokyo,1135886.0,105.48,0.5,1.42,1.06,5081769.54238,1.8,84.2,nan,13.1,126226568.0,11.9,2.29,36.204824,138.252924
Jordan,12.0,89342.0,21.98,Amman,25108.0,125.6,0.8,2.76,1.1,43743.661972,13.9,74.4,Arabic,25.1,10101694.0,15.1,14.72,30.585164,36.238414
Kazakhstan,80.4,2724900.0,21.77,Astana,247207.0,182.75,5.2,2.84,0.42,180161.74118,8.8,73.2,Russian,38.8,18513930.0,11.7,4.59,48.019573,66.923684
Kenya,48.5,580367.0,28.75,Nairobi,17910.0,180.51,4.7,3.49,0.95,95503.088538,30.6,66.3,Swahili,33.4,52573973.0,15.1,2.64,-0.023559,37.906193
Kiribati,42.0,811.0,27.89,South Tarawa,66.0,99.55,0.6,3.57,,194.647202,41.2,68.1,English,0.2,117606.0,22.0,,1.8368976,-157.3768317
Kuwait,8.4,17818.0,13.94,Kuwait City,98734.0,126.6,1.1,2.08,0.35,134761.198946,6.7,75.4,Modern Standard Arabic,14.4,4207083.0,1.4,2.18,29.31166,47.481766
Kyrgyzstan,55.0,199951.0,27.1,Bishkek,9787.0,155.68,1.1,3.3,0.56,8454.619608,16.9,71.4,Russian,48.2,6456900.0,18.0,6.33,41.20438,74.766098
Laos,10.3,236800.0,23.55,Vientiane,17763.0,135.87,3.3,2.67,0.93,18173.839128,37.6,67.6,Lao,45.4,7169455.0,12.9,0.63,19.85627,102.495496
Latvia,31.1,64589.0,10.0,Riga,7004.0,116.86,2.8,1.6,1.16,34117.202555,3.3,74.7,Latvian,41.6,1912789.0,22.9,6.52,56.879635,24.603189
Lebanon,64.3,10400.0,17.55,Beirut,24796.0,130.02,3.0,2.09,0.74,53367.042272,6.4,78.9,Arabic,32.1,6855713.0,15.3,6.23,33.854721,35.862285
Lesotho,77.6,30355.0,26.81,Maseru,2512.0,155.86,5.2,3.14,0.7,2460.072444,65.7,53.7,English,16.9,2125268.0,31.6,23.41,-29.609988,28.233608
Liberia,28.0,111369.0,33.04,Monrovia,1386.0,223.13,23.6,4.32,0.8,3070.5181,53.5,63.7,English,19.6,4937374.0,12.9,2.81,6.428055,-9.429499
Libya,8.7,1759540.0,18.83,nan,50564.0,125.71,2.6,2.24,0.11,52076.250948,10.2,72.7,Arabic,36.7,6777452.0,,18.56,26.3351,17.228331
Lithuania,47.2,65300.0,10.0,Vilnius,12963.0,118.38,2.3,1.63,1.16,54219.3156,3.3,75.7,Lithuanian,32.1,2786844.0,16.9,6.35,55.169438,23.881275
Luxembourg,53.7,2586.0,10.3,Luxembourg City,8988.0,115.09,1.7,1.37,1.19,71104.919108,1.9,82.1,Luxembourgish,10.6,645397.0,26.5,5.36,49.815273,6.129583
Madagascar,71.2,587041.0,32.66,Antananarivo,3905.0,184.33,5.6,4.08,1.11,14083.906357,38.2,66.7,French,21.7,26969307.0,10.2,1.76,-18.766947,46.869107
Malawi,61.4,118484.0,34.12,Lilongwe,1298.0,418.34,9.4,4.21,1.15,7666.704427,35.3,63.8,English,11.0,18628747.0,17.3,5.65,-13.254308,34.301525
Malaysia,26.3,329847.0,16.75,Kuala Lumpur,248289.0,121.46,0.7,2.0,0.45,364701.517788,6.7,76.0,Malaysian language,36.7,32447385.0,12.0,3.32,4.210484,101.975766
Maldives,26.3,298.0,14.2,Mal�,1445.0,99.7,0.2,1.87,1.63,5729.248472,7.4,78.6,Divehi,16.4,530953.0,19.5,6.14,3.202778,73.22068
Mali,33.8,1240192.0,41.54,Bamako,3179.0,108.73,-1.7,5.88,1.12,17510.141171,62.0,58.9,French,46.3,19658031.0,11.6,7.22,17.570692,-3.996166
Malta,32.4,316.0,9.2,Valletta,1342.0,113.45,1.6,1.23,1.36,14786.156563,6.1,82.3,Maltese,37.1,502653.0,26.2,3.47,35.937496,14.375416
Mauritania,38.5,1030700.0,33.69,Nouakchott,2739.0,135.02,2.3,4.56,1.13,7593.75245,51.5,64.7,Arabic,48.2,4525696.0,,9.55,21.00789,-10.940835
Mauritius,42.4,2040.0,10.2,Port Louis,4349.0,129.91,0.4,1.41,1.12,14180.444557,13.6,74.4,French,50.7,1265711.0,19.1,6.67,-20.348404,57.552152
Mexico,54.6,1964375.0,17.6,Mexico City,486406.0,141.54,3.6,2.13,0.73,1258286.717125,11.0,75.0,nan,41.4,126014024.0,13.1,3.42,23.634501,-102.552784
Federated States of Micronesia,31.4,702.0,22.82,Palikir,143.0,112.1,0.5,3.05,,401.932279,25.6,67.8,English,2.5,113815.0,25.2,,7.425554,150.550812
Moldova,74.2,33851.0,10.1,Chi����,5115.0,166.2,4.8,1.26,0.8,11955.435457,13.6,71.8,Romanian,46.2,2657637.0,17.7,5.47,47.411631,28.369885
Mongolia,71.5,1564116.0,24.13,Ulaanbaatar,25368.0,195.76,7.3,2.9,0.72,13852.850259,14.0,69.7,Mongolian,39.3,3225167.0,16.8,6.01,46.862496,103.846656
Montenegro,19.0,13812.0,11.73,Podgorica,2017.0,116.32,2.6,1.75,1.16,5494.736901,2.3,76.8,Montenegrin language,31.8,622137.0,,14.88,42.708678,19.37439
Morocco,68.5,446550.0,18.94,Rabat,61276.0,111.07,0.2,2.42,0.99,118725.279596,19.2,76.5,Arabic,53.1,36910560.0,21.9,9.02,31.791702,-7.09262
Mozambique,63.5,799380.0,37.52,Maputo,7943.0,182.31,2.8,4.85,0.65,14934.159926,54.0,60.2,Portuguese,6.8,30366036.0,0.0,3.24,-18.665695,35.529562
Myanmar,19.5,676578.0,17.55,Naypyidaw,25280.0,168.18,8.8,2.15,0.54,76085.852617,36.8,66.9,Burmese,73.9,54045420.0,5.4,1.58,21.916221,95.955974
Namibia,47.1,824292.0,28.64,Windhoek,4228.0,157.97,3.7,3.4,0.76,12366.527719,29.0,63.4,English,8.3,2494530.0,27.1,20.27,-22.95764,18.49041
Nepal,28.7,147181.0,19.89,Kathmandu,9105.0,188.73,5.6,1.92,0.91,30641.380604,26.7,70.5,Nepali,60.4,28608710.0,20.7,1.41,28.394857,84.124008
Netherlands,53.3,41543.0,9.7,Amsterdam,170780.0,115.91,2.6,1.59,1.68,909070.395161,3.3,81.8,Dutch,12.3,17332850.0,23.0,3.2,52.132633,5.291266
New Zealand,40.5,268838.0,11.98,Wellington,34382.0,114.24,1.6,1.71,1.4,206928.765544,4.7,81.9,English,12.6,4841000.0,29.0,4.07,-40.900557,174.885971
Nicaragua,42.1,130370.0,20.64,Managua,5592.0,162.74,5.4,2.4,0.91,12520.915291,15.7,74.3,Spanish,36.0,6545502.0,15.6,6.84,12.865416,-85.207229
Niger,36.1,1267000.0,46.08,Niamey,2017.0,109.32,-2.5,6.91,0.88,12928.14512,48.0,62.0,French,52.3,23310715.0,11.8,0.47,17.607789,8.081666
Nigeria,77.7,923768.0,37.91,Abuja,120369.0,267.51,11.4,5.39,0.46,448120.428859,75.7,54.3,English,72.2,200963599.0,1.5,8.1,9.081999,8.675277
Norway,2.7,323802.0,10.4,Oslo,41023.0,120.27,2.2,1.56,1.78,403336.363636,2.1,82.8,Norwegian,14.3,5347896.0,23.9,3.35,60.472024,8.468946
Oman,4.6,309500.0,19.19,Muscat,63457.0,113.53,0.1,2.89,0.45,76983.094928,9.8,77.6,Arabic,6.4,5266535.0,2.5,2.67,21.4735329,55.975413
Pakistan,47.8,796095.0,28.25,Islamabad,201150.0,182.32,10.6,3.51,0.79,304400.0,57.2,67.1,Urdu,66.5,216565318.0,9.2,4.45,30.375321,69.345116
Palau,10.9,459.0,14.0,Ngerulmud,224.0,118.17,1.3,2.21,,283.9949,16.6,69.1,English,21.8,18233.0,21.3,,7.51498,134.58252
Panama,30.4,75420.0,18.98,Panama City,10715.0,122.07,-0.4,2.46,0.74,66800.8,13.1,78.3,Spanish,30.5,4246439.0,,3.9,8.537981,-80.782127
Papua New Guinea,2.6,462840.0,27.07,Port Moresby,7536.0,155.99,3.6,3.56,1.36,24969.611435,38.0,64.3,Tok Pisin,5.8,8776109.0,13.6,2.46,-6.314993,143.95555
Paraguay,55.1,406752.0,20.57,Asunci��,7407.0,143.82,2.8,2.43,1.04,38145.28894,17.2,74.1,Spanish,36.5,7044636.0,10.0,4.81,-23.442503,-58.443832
Peru,18.5,1285216.0,17.95,Lima,57414.0,129.78,2.1,2.25,0.99,226848.05082,11.1,76.5,Spanish,30.9,32510453.0,14.3,3.31,-9.189967,-75.015152
Philippines,41.7,300000.0,20.55,Manila,122287.0,129.61,2.5,2.58,0.86,376795.50868,22.5,71.1,English,53.5,108116615.0,14.0,2.15,12.879721,121.774017
Poland,46.9,312685.0,10.2,Warsaw,299037.0,114.11,2.2,1.46,1.07,592164.400688,3.8,77.6,Polish,23.2,37970874.0,17.4,3.47,51.919438,19.145136
Portugal,39.5,92212.0,8.5,Lisbon,48742.0,110.62,0.3,1.38,1.54,237686.075635,3.1,81.3,Portuguese,27.7,10269417.0,22.8,6.33,39.399872,-8.224454
Qatar,5.8,11586.0,9.54,Doha,103259.0,115.38,-0.7,1.87,0.4,183466.208791,5.8,80.1,Arabic,6.2,2832067.0,14.7,0.09,25.354826,51.183884
Romania,58.8,238391.0,9.6,Bucharest,69259.0,123.78,3.8,1.71,1.16,250077.444017,6.1,75.4,Romanian,21.3,19356544.0,14.6,3.98,45.943161,24.96676
Russia,13.3,17098240.0,11.5,Moscow,1732027.0,180.75,4.5,1.57,0.59,1699876.578871,6.1,72.7,Russian,36.4,144373535.0,11.4,4.59,61.52401,105.318756
Rwanda,73.4,26338.0,31.7,Kigali,1115.0,151.09,3.4,4.04,1.17,10122.47259,27.0,68.7,Swahili,26.0,12626950.0,14.3,1.03,-1.940278,29.873888
Saint Kitts and Nevis,23.1,261.0,12.6,Basseterre,238.0,104.57,-1.0,2.11,,1050.992593,9.8,71.3,English,56.6,52823.0,18.5,,17.357822,-62.782998
Saint Lucia,17.4,616.0,12.0,Castries,414.0,110.13,1.9,1.44,1.3,2122.45063,14.9,76.1,English,48.4,182790.0,18.2,20.71,13.909444,-60.978893
Saint Vincent and the Grenadines,25.6,389.0,14.24,Kingstown,220.0,109.67,2.3,1.89,,825.385185,14.8,72.4,English,21.4,100455.0,25.4,18.88,12.984305,-61.287228
Samoa,12.4,2831.0,24.38,Apia,246.0,117.56,1.0,3.88,0.91,850.655017,13.6,73.2,Samoan,11.5,202506.0,25.5,8.36,-13.759029,-172.104629
Saudi Arabia,80.8,2149690.0,17.8,Riyadh,563449.0,118.4,-1.2,2.32,0.24,792966.838162,6.0,75.0,Arabic,15.0,34268528.0,8.9,5.93,23.885942,45.079162
